Word,Meaning,Example,Checked,Column5,Column6
hector,"A bully; a blustering, turbulent, noisy fellow. To intimidate or dominate in a blustering way.",,0.0,,
bilge,"the lowest inner part of a ship's hull, where water accumulates stupid talk or writing; nonsense",,0.0,,
charnel,a repository for dead bodies,,0.0,,
dross,waste or impure matter the impurities in metal worthless or trivial matter,,0.0,,
fain,well-pleased; glad; apt,,0.0,,
spoony,"Enamored in a silly or sentimental way, feebly sentimental; gushy. A foolish, simple, or silly person, foolishly amorous person.",,0.0,,
lurid,"Shocking, horrifying. Being of a light yellow hue.",The accident was described with lurid detail. The lurid lighting of the bar made for a very hazy atmosphere.,0.0,,
rebuff,"a sudden resistance or refusal. Repercussion, or beating back.",He was surprised by her quick rebuff to his proposal. The strong rebuff of some tumultuous cloud,0.0,,
etiolate,"To make pale through lack of light, especially of a plant.",,0.0,,
pip,"any of various respiratory diseases in birds, especially infectious coryza. of humans, a disease, malaise or depression. something or someone excellent, of high quality A spot; a speck, a small hard seed in a fruit. To get the better of; to defeat by a narrow margin To hit with a gunshot to peep, to chirp",I've got the pip horribly at present. He led throughout the race but was pipped at the post.,0.0,,
ewer,a kind of widemouthed pitcher or jug with a shape like a vase and a handle.,,0.0,,
perpetrate,"to be guilty of, or responsible for a crime etc; to commit.",Perpetrate a crime; perpetrate a practical joke.,0.0,,
blear,"(of eyes or vision) dim, unclear from water or rheum",,0.0,,
indelible,"having the quality of being difficult to delete, remove, wash away, blot out, or efface",This ink spot on the contract is indelible.,0.0,,
sonorous,"Capable of giving out a deep, resonant sound. Full of sound and rich, as in language or verse, wordy or grandiloquent.",,0.0,,
contumacy,"disobedience, resistance to authority",,0.0,,
ensconce,to place in a secure environment to settle comfortably,"Major was already ensconced on his bed of straw, under a lantern which hung from a beam.",0.0,,
imposing,"magnificent and impressive because of appearance, size, stateliness or dignity",,0.0,,
mesh,"a structure made of connected strands of metal, fiber, or other flexible/ductile material, with evenly spaced openings between them. to connect together by interlocking, as gears do.",A golden mesh to entrap the hearts of men The music meshed well with the visuals in that film.,0.0,,
extirpate,"to destroy completely; to annihilate, to uproot, to remove, to remove surgically",,0.0,,
sunder,"to break or separate or to break apart, especially with force.",I shook his hand and tore my heart in sunder.,0.0,,
lark,"Any of various similar-appearing birds, but usually ground-living, such as the meadowlark and titlark. One who wakes early. A romp, frolic, some fun, a prank. To frolic, engage in carefree adventure.",,0.0,,
confabulate,"To speak casually with; to chat, to confer. To fabricate memories in order to fill gaps in one's memory.",It has been well established that the speech areas in the absence of input often confabulate a response.,0.0,,
dowager,a widow holding property or title derived from her late husband.,,0.0,,
anathematize,"to cause to be, or to declare as, an anathema or evil.",,0.0,,
vanquish,"to defeat, to overcome.",They ... vanquished the rebels in all encounters.,0.0,,
inkle,"to hint at; disclose. narrow linen tape, used for trimmings or to make shoelaces",,0.0,,
extant,still in existence,,0.0,,
onus,"a legal obligation, responsibility stigma, blame",The onus is on the landlord to make sure the walls are protected from mildew.,0.0,,
behest,"a command, bidding; sometimes also, an authoritative request a vow; a promise","Paul did not dare pronounce, let matters rest, / His master having given him no behest. The time is come that I should send it her, if I keep the behest that I have made.",0.0,,
apanage,a grant (especially by a sovereign) of land (or other source of revenue) as a birthright a perquisite that is appropriate to one's position,,0.0,,
fillip,something that excites or stimulates stimulate; excite; whet to snap; to project quickly,This measure gave a fillip to the housing market. The spicy aroma filliped my appetite. The use of the elastic switch to fillip small missiles with.,0.0,,
dote,to be excessively fond of. to act in a foolish manner; to be senile.,Little Bill's parents just keep doting on him.,0.0,,
prig,"a deliberately superior person; a person who demonstrates an exaggerated conformity or propriety, especially in an irritatingly arrogant or smug manner to filch or steal",To prig a handkerchief.,0.0,,
unremitting,incessant; never slackening,We can achieve this god‐likeness only by unremitting and strenuous effort of the intellect.,0.0,,
consort,"a husband, wife, companion or partner a ship accompanying another a group or company, especially of musicians playing the same type of instrument to be in agreement","He single chose to live, and shunned to wed, / Well pleased to want a consort of his bed.",0.0,,
beguile,"To deceive or delude (using guile). To charm, delight or captivate.","I will never touch The Orb, even though its mysterious glow seduces and beguiles.",0.0,,
aquiline,"of, pertaining to, or characteristic of eagles; resembling that of an eagle.","Holmes looked even thinner and keener than of old, but there was a dead-white tinge in his aquiline face which told me that his life recently had not been a healthy one.",0.0,,
gander,"A male goose A fool, simpleton. A glance, look.",Have a gander at what he’s written.,0.0,,
girandole,"An ornamental branched candle holder, sometimes with a mirror behind.","As I sat in my usual nook, and looked at him with the light of the girandoles on the mantelpiece beaming full over him...",0.0,,
adage,an old saying which has been overused or considered a cliché; a trite maxim,,0.0,,
grouse,"Any of various game birds of the family Tetraonidae which inhabit temperate and subarctic regions of the northern hemisphere. A cause for complaint, to complain or grumble.",When grouse is a bird the plural stays grouse In case of complaint the grouses you use,0.0,,
perpetuate,"To cause to continue indefinitely; make perpetual, to prolong the existence of; cause to be remembered",The new library will perpetuate its founder's great love of learning.,0.0,,
crone,"an archetypal figure, a Wise Woman an ugly, evil-looking, or frightening old woman; a hag",But still the crone was constant to her note.,0.0,,
diablerie,"witchcraft, sorcery",,0.0,,
quibble,"A trivial or minor complaint, objection or argument. To complain or argue in a trivial or petty manner.",He harped on his quibble about how the dark red paint should be described as carmine rather than burgundy. They are constantly quibbling over insignificant details.,0.0,,
blackavised,dark-complexioned; swarthy,,0.0,,
suitor,"one who pursues a woman for marriage; a wooer; one who courts a mistress one who sues, petitions, solicits, or entreats; a petitioner",,0.0,,
chasm,a large difference of opinion,,0.0,,
brine,salt water; water saturated or strongly impregnated with salt; a salt-and-water solution for pickling the sea or ocean; the water of the sea to preserve food in a salt solution,Do you want a can of tuna in oil or in brine?,0.0,,
